Frame,Start(us),End(us),Duration(us)
3,5767287377,5767287492,114
3,5767290046,5767290118,72
4,5767290842,5767290883,41
5,5767294476,5767294538,62
6,5767309246,5767309350,103
7,5767309592,5767309633,40
7,5767313504,5767313550,46
9,5767316111,5767316155,43
9,5767320165,5767320217,51
11,5767322809,5767322859,49
11,5767325037,5767325087,49
12,5767329553,5767329594,41
14,5767332127,5767332169,41
14,5767335895,5767335949,53
15,5767337852,5767337895,42
16,5767342321,5767342382,60
17,5767343959,5767343999,40
19,5767347206,5767347257,51
19,5767350703,5767350764,60
21,5767354010,5767354061,50
21,5767360126,5767360229,102
22,5767360920,5767360997,76
23,5767367284,5767367451,167
24,5767367667,5767367707,40
25,5767372168,5767372213,45
26,5767373852,5767373955,102
28,5767377369,5767377443,74
28,5767380508,5767380577,68
29,5767386947,5767387154,207
30,5767389945,5767390003,57
32,5767393768,5767393826,58
33,5767396931,5767396999,68
33,5767400789,5767400874,84
34,5767401248,5767401326,77
35,5767406718,5767406776,57
37,5767410525,5767410660,135
38,5767419366,5767419407,40
38,5767425822,5767425869,46
39,5767432159,5767432216,56
41,5767435564,5767435619,54
42,5767442226,5767442317,91
42,5767453006,5767453053,47
43,5767459278,5767459324,46
44,5767465664,5767465812,148
45,5767480517,5767480695,177
46,5767490813,5767490861,48
47,5767497074,5767497136,61
48,5767503339,5767503529,189
50,5767518836,5767518896,60
51,5767541584,5767541725,141
52,5767559751,5767559796,44
53,5767570375,5767570454,79
54,5767579008,5767579043,34
55,5767584978,5767585128,149
55,5767596967,5767597028,61
56,5767602579,5767602633,54
57,5767608120,5767608164,44
58,5767613449,5767613498,49
59,5767617918,5767617950,31
60,5767620065,5767620116,50
61,5767624945,5767625000,55
63,5767628541,5767628595,54
63,5767631147,5767631188,40
64,5767635900,5767635941,40
65,5767638135,5767638237,102
66,5767643408,5767643464,55
67,5767645592,5767645641,48
68,5767650806,5767650851,44
69,5767653030,5767653087,57
70,5767658240,5767658299,59
71,5767660175,5767660240,65
72,5767662469,5767662566,97
74,5767665727,5767665771,43
74,5767669402,5767669447,44
76,5767672861,5767672902,40
76,5767675544,5767675584,40
78,5767679071,5767679115,43
78,5767685854,5767685903,49
79,5767687640,5767687796,156
80,5767690526,5767691371,845
81,5767691641,5767692801,1160
82,5767694995,5767695098,103
84,5767698025,5767698075,49
84,5767700603,5767700653,49
86,5767709060,5767709111,51
86,5767711563,5767711615,51
88,5767714806,5767714870,64
88,5767716995,5767717046,50
90,5767720555,5767720629,74
90,5767723878,5767723937,58
91,5767728796,5767728852,55
93,5767731991,5767732043,52
93,5767734668,5767734738,70
95,5767737774,5767737835,60
95,5767739956,5767740004,47
97,5767742999,5767743054,55
97,5767745943,5767745998,55
99,5767753039,5767753086,46
99,5767755674,5767755725,50
101,5767758208,5767758252,43
101,5767760894,5767760952,57
103,5767764261,5767764296,34
104,5767773008,5767773059,50
104,5767775212,5767775253,41
106,5767778736,5767778782,45
106,5767782117,5767782173,56
108,5767785323,5767785358,35
108,5767787935,5767787986,50
109,5767796805,5767796866,60
111,5767799411,5767799479,67
112,5767805206,5767805257,50
112,5767807960,5767808002,42
114,5767810937,5767810977,40
115,5767816977,5767817027,50
115,5767819228,5767819305,77
116,5767824811,5767824869,58
118,5767827446,5767827499,52
118,5767830578,5767830629,51
119,5767836852,5767836904,51
121,5767840138,5767840181,43
122,5767845092,5767845139,46
123,5767849731,5767849790,58
123,5767856827,5767856887,59
125,5767859857,5767859914,56
125,5767862101,5767862156,55
127,5767865225,5767865292,66
127,5767867432,5767867484,52
129,5767870592,5767870647,55
129,5767872811,5767872860,49
131,5767876539,5767876601,61
131,5767879501,5767879549,48
132,5767884857,5767884919,62
133,5767887118,5767887187,68
134,5767892807,5767892867,59
136,5767895376,5767895420,43
136,5767898103,5767898173,69
138,5767905019,5767905055,36
138,5767907604,5767907655,50
139,5767912793,5767912861,67
141,5767915738,5767915778,39
142,5767920969,5767921008,39
142,5767923986,5767924032,45
143,5767928804,5767928858,53
145,5767931626,5767931677,51
145,5767934244,5767934304,60
147,5767941011,5767941048,37
147,5767944047,5767944097,49
149,5767947088,5767947146,57
149,5767949261,5767949310,48
151,5767952103,5767952155,52
151,5767954741,5767954795,54
153,5767958333,5767958390,56
153,5767960507,5767960559,52
155,5767963454,5767963506,52
155,5767966067,5767966127,59
157,5767969708,5767969768,60
157,5767972867,5767972921,53
159,5767981422,5767981475,52
160,5767983635,5767983685,50
160,5767986433,5767986491,58
162,5767989503,5767989560,56
162,5767992000,5767992045,45
163,5767996789,5767996843,54
165,5767999759,5767999796,36
166,5768004989,5768005035,46
167,5768007312,5768007364,51
167,5768009521,5768009577,56
169,5768012595,5768012650,55
169,5768015869,5768015909,40
170,5768020796,5768020848,52
172,5768024129,5768024168,39
173,5768032991,5768033039,47
173,5768035723,5768035773,49
174,5768040784,5768040831,47
176,5768043768,5768043824,55
176,5768046250,5768046304,53
177,5768051327,5768051391,63
179,5768054496,5768054532,35
179,5768060808,5768060861,53
181,5768063292,5768063336,44
181,5768065913,5768065973,59
183,5768069478,5768069546,67
183,5768071699,5768071751,52
185,5768074700,5768074744,44
186,5768081140,5768081176,36
186,5768083562,5768083612,49
187,5768088798,5768088854,56
189,5768091692,5768091729,37
190,5768096984,5768097027,43
190,5768099166,5768099244,78
191,5768104819,5768104879,60
193,5768107723,5768107760,37
194,5768112977,5768113023,45
194,5768115220,5768115269,49
196,5768119452,5768119517,65
196,5768121972,5768122029,57
198,5768128987,5768129032,44
198,5768131872,5768131920,48
200,5768135424,5768135483,58
200,5768137600,5768137648,48
202,5768140115,5768140165,49
202,5768143196,5768143241,45
203,5768149068,5768149152,84
205,5768152406,5768152480,74
206,5768156991,5768157068,76
206,5768159517,5768159591,73
208,5768162515,5768162599,83
208,5768168869,5768168949,80
210,5768171915,5768171985,69
211,5768176982,5768177053,70
211,5768179567,5768179642,75
213,5768182452,5768182523,70
213,5768188836,5768188930,93
215,5768191526,5768191597,70
215,5768194286,5768194377,91
217,5768201151,5768201241,90
217,5768204234,5768204321,87
219,5768207183,5768207253,69
220,5768213125,5768213207,81
221,5768215381,5768215455,73
221,5768218326,5768218420,93
223,5768221181,5768221252,71
223,5768224362,5768224431,69
224,5768226552,5768226623,71
226,5768229615,5768229695,80
226,5768236831,5768236921,90
228,5768239665,5768239735,70
229,5768245036,5768245114,77
229,5768247273,5768247346,72
231,5768250873,5768250950,76
232,5768257107,5768257175,67
232,5768259932,5768260011,78
234,5768262743,5768262831,87
235,5768269080,5768269156,76
235,5768271847,5768271925,78
237,5768274778,5768274861,82
238,5768281109,5768281186,76
238,5768284343,5768284443,99
239,5768288827,5768288893,65
241,5768292564,5768292651,86
242,5768297037,5768297098,61
243,5768302019,5768302119,100
243,5768305163,5768305260,96
245,5768313226,5768313309,83
245,5768315876,5768315951,75
246,5768320854,5768320954,99
248,5768324080,5768324159,79
249,5768333097,5768333183,86
249,5768335792,5768335863,71
251,5768339228,5768339310,81
251,5768342445,5768342527,81
253,5768345398,5768345468,70
253,5768348313,5768348387,73
255,5768351774,5768351847,72
255,5768354994,5768355073,78
257,5768358235,5768358312,76
257,5768361448,5768361528,80
259,5768364425,5768364488,62
259,5768367010,5768367091,81
261,5768370158,5768370233,74
261,5768376816,5768376898,81
263,5768380048,5768380120,71
263,5768382981,5768383062,80
265,5768386283,5768386365,81
265,5768392799,5768392878,79
267,5768395404,5768395468,63
267,5768397620,5768397701,81
269,5768400943,5768401021,77
269,5768403477,5768403554,76
270,5768408797,5768408882,84
272,5768411474,5768411538,63
272,5768413984,5768414066,81
274,5768416980,5768417057,77
274,5768419616,5768419693,77
276,5768422714,5768422791,76
276,5768425792,5768425871,79
278,5768429222,5768429304,81
279,5768431468,5768431529,61
279,5768434806,5768434900,94
281,5768439027,5768439111,84
282,5768445147,5768445220,73
282,5768447778,5768447856,78
283,5768456838,5768456941,102
285,5768460772,5768460852,80
285,5768468235,5768468325,90
287,5768470886,5768470949,62
287,5768474209,5768474303,94
288,5768476507,5768476631,123
290,5768479195,5768479275,80
290,5768482184,5768482275,91
291,5768484500,5768484575,74
293,5768487765,5768487878,112
293,5768490183,5768490252,68
294,5768496077,5768496169,91
295,5768498388,5768498510,121
297,5768502145,5768502235,89
297,5768504582,5768504652,70
299,5768513046,5768513132,86
299,5768516262,5768516356,93
300,5768519747,5768519821,74
300,5768525010,5768525065,55
300,5768525090,5768525126,35
